#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,
"Dataset: Science,technology and innovation",,,,,,,,
Indicator,,GERD - Total (in '000 local currency),,,,,,
Time,,2013,2014,2015,2016,2017,2018,2019
Oman,,51364.58563,66253.62442,66177.26739,65548.1191,61945.0595,66957.63706,..
Pakistan,,65556875,..,67524600,..,75421826,..,..
Palestine,,61406.531,..,..,..,..,..,..
Panama,,28300,70150,65090,83930,91550,..,..
Papua New Guinea,,..,..,..,20541.818,..,..,..
Paraguay,,119154500,142361268.1,182333420,238948926.8,326219230,338575789,..
Peru,,444300,615920,707290,777709,831415.2,927890,..
Philippines,,15914710.4,..,21868610.58,..,..,..,..
Poland,,14423800,16168200,18060700,17943000,20578500,25647792,..
Portugal,,2258471,2232249,2234370,2388467,2585100,2753066,..
Puerto Rico,,449337,..,443300,..,..,..,..
Qatar,,..,..,3054540,..,..,3545520,..
Republic of Korea,,59300949330,63734126793,65959371727,69405529886,78789187375,85728714738,..
Republic of Moldova,,356000,415200,451000,445300,453900,484500,..
Romania,,2464779,2555662,3476933,3675142,4317087,4769280,..
Russian Federation,,749797600,847527000,914669100,943815200,1019152400,1028247600,..
Rwanda,,..,..,..,44457110,..,..,..
Saint Helena,,..,..,..,..,..,..,..
Saint Lucia,,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,,..,..,..,..,..,..,..
Saudi Arabia,,22823969.27,..,..,..,..,..,..
Senegal,,..,..,60656020,..,..,..,..
Serbia,,28175330,30084387,34990600,37956300,41531049,46615667,..
Seychelles,,..,..,..,42138.468,..,..,..
Singapore,,7402400,8316610,9239470,9140220,9085860,..,..
Slovakia,,610876,669632,927272,640835,748955,750947,..
Slovenia,,935006,890232,853067,811953,802291,892399,..
South Africa,,25660573,29344977,32336679,35692973,38724590,..,..
Spain,,13011798,12820756,13172000,13260000,14063444,14946000,..
Sri Lanka,,9670000,10350070,11904000,15419300,17003340,..,..
Sudan,,..,..,..,..,..,..,..
Sudan (pre-secession),,..,..,..,..,..,..,..
Sweden,,124635000,123848000,137146000,143372000,155532000,159951000,..
Switzerland,,..,..,22058974,..,22550001,..,..
Syrian Arab Republic,,..,..,928800,..,..,..,..
Tajikistan,,47699,52300,52709.4,58200,70600,66800,..
Thailand,,57038000,63489000,84672000,113555000,155143000,..,..
Togo,,..,6021042,..,..,..,..,..
Trinidad and Tobago,,99550,144640,137820,136470,138840,135400,..
Tunisia,,504000,529042,533000,542000,..,633000,..
Turkey,,14807322,17598117,20615248,24641252,29855478,..,..
Uganda,,..,118070000,..,..,..,..,..
Ukraine,,11161100,10320300,12224900,11530700,13379300,16773700,..
